town,ward,precinct,office,district,party,candidate,votes
Weymouth,,9,President,,Democratic,Elizabeth A. Warren,126
Saugus,,6,President,,Green-Rainbow,David Rolde,0
Randolph,,11,President,,Libertarian,Vermin Love Supreme,0
Templeton,,A,President,,Libertarian,No Preference,0
Dedham,,6,President,,Democratic,Blanks,2
Concord,,4,President,,Republican,Joe Walsh,2
Groton,,2,President,,Republican,William F. Weld,32
Southborough,,3,President,,Green-Rainbow,No Preference,0
Plymouth,,12,President,,Democratic,Bernie Sanders,205
Yarmouth,,4,President,,Democratic,Deval Patrick,5
Newbury,,1,President,,Democratic,Michael Bennet,0
Sutton,,2,President,,Democratic,Andrew Yang,2
Seekonk,,4,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Ware,,A,President,,Libertarian,Jacob George Hornberger,0
Needham,,F,President,,Libertarian,Total Votes Cast,0
Easton,,4,President,,Democratic,Elizabeth A. Warren,168
Lincoln,,1,President,,Democratic,Tom Steyer,3
Fall River,2,C,President,,Republican,Blanks,0
Holbrook,,3,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Somerville,4,2,President,,Democratic,Blanks,0
Gloucester,4,2,President,,Green-Rainbow,All Others,0
Boston,12,9,President,,Democratic,Michael R. Bloomberg,28
Waltham,7,2,President,,Democratic,All Others,0
Bourne,,7,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Taunton,1,B,President,,Democratic,Cory Booker,0
Concord,,2,President,,Democratic,Total Votes Cast,1688
N. Adams,5,5,President,,Democratic,Pete Buttigieg,4
Natick,,3,President,,Green-Rainbow,Total Votes Cast,0
Chicopee,8,A,President,,Democratic,Amy Klobuchar,5
Lowell,4,3,President,,Democratic,All Others,0
Chelmsford,,9,President,,Republican,Donald J. Trump,220
Ware,,C,President,,Libertarian,Arvin Vohra,1
Norton,,5,President,,Republican,Donald J. Trump,125
Worthington,,1,President,,Democratic,Deval Patrick,2
Billerica,,2,President,,Green-Rainbow,Dario Hunter,0
Uxbridge,,3,President,,Democratic,All Others,0
Boston,18,11,President,,Libertarian,Max Abramson,0
Hull,,1,President,,Green-Rainbow,Blanks,0
Boston,14,10,President,,Republican,Joe Walsh,0
Belchertown,,C,President,,Democratic,No Preference,3
Plymouth,,13,President,,Democratic,Amy Klobuchar,27
Easton,,4,President,,Republican,No Preference,2
Ashby,,1,President,,Libertarian,Arvin Vohra,1
Shrewsbury,,6,President,,Libertarian,Kimberly Margaret Ruff,0
Boston,17,5,President,,Libertarian,Arvin Vohra,0
Agawam,,4,President,,Democratic,Amy Klobuchar,1
Andover,,1,President,,Republican,All Others,2
Lunenburg,,D,President,,Republican,All Others,3
Cambridge,5,3,President,,Democratic,Michael R. Bloomberg,52
Agawam,,4,President,,Green-Rainbow,Howard Hawkins,0
Palmer,,4,President,,Green-Rainbow,No Preference,1
Revere,4,1,President,,Democratic,Elizabeth A. Warren,52
Marlborough,1,1,President,,Democratic,Bernie Sanders,96
Cambridge,2,1,President,,Republican,Joe Walsh,1
Springfield,5,E,President,,Libertarian,Arvin Vohra,0
Canton,,5,President,,Libertarian,Blanks,0
Granville,,1,President,,Libertarian,Kimberly Margaret Ruff,0
Gloucester,5,1,President,,Green-Rainbow,No Preference,0
Leominster,4,C,President,,Green-Rainbow,Blanks,0
Somerset,,2,President,,Democratic,Blanks,4
Medway,,2,President,,Libertarian,Kimberly Margaret Ruff,1
Gosnold,,1,President,,Republican,William F. Weld,4
Boston,5,7,President,,Democratic,All Others,0
Oxford,,3,President,,Green-Rainbow,Blanks,0
Quincy,5,1,President,,Libertarian,Vermin Love Supreme,1
Wellesley,,D,President,,Libertarian,Vermin Love Supreme,0
Chicopee,7,A,President,,Democratic,No Preference,2
Boston,5,4,President,,Libertarian,Kimberly Margaret Ruff,1
Raynham,,2,President,,Democratic,No Preference,2
Natick,,9,President,,Libertarian,Vermin Love Supreme,0
New Ashford,,1,President,,Democratic,Tom Steyer,0
Fairhaven,,4,President,,Libertarian,Jacob George Hornberger,0
Boston,11,8,President,,Green-Rainbow,Blanks,0
Walpole,,1,President,,Green-Rainbow,Dario Hunter,0
Waltham,9,1,President,,Libertarian,Samuel Joseph Robb,0
Medford,6,2,President,,Green-Rainbow,Total Votes Cast,20
Bourne,,5,President,,Democratic,Deval Patrick,2
Lawrence,C,3,President,,Green-Rainbow,No Preference,0
Salem,5,1,President,,Green-Rainbow,All Others,2
Templeton,,A,President,,Libertarian,Kimberly Margaret Ruff,0
Fall River,5,B,President,,Libertarian,Kenneth Reed Armstrong,0
Chelsea,3,3,President,,Republican,Donald J. Trump,20
Lawrence,C,3,President,,Democratic,Elizabeth A. Warren,38
Braintree,,6A,President,,Democratic,Julian Castro,0
Revere,6,3,President,,Libertarian,Max Abramson,0
Watertown,,3,President,,Libertarian,Blanks,0
Hadley,,1,President,,Democratic,Blanks,2
Boston,5,9,President,,Democratic,All Others,0
Groveland,,1,President,,Green-Rainbow,David Rolde,0
Norton,,2,President,,Green-Rainbow,Howard Hawkins,0
Uxbridge,,1,President,,Democratic,Cory Booker,0
Boston,4,7,President,,Democratic,Andrew Yang,0
Oxford,,2,President,,Democratic,Marianne Williamson,0
Acton,,6,President,,Green-Rainbow,David Rolde,0
Boston,21,3,President,,Republican,Donald J. Trump,3
Revere,4,1,President,,Republican,Total Votes Cast,77
Quincy,2,3A,President,,Republican,Roque De La Fuente,0
Lincoln,,1,President,,Green-Rainbow,Skcm Curry,1
Chicopee,2,B,President,,Republican,Blanks,0
Plymouth,,2,President,,Democratic,Andrew Yang,5
Gill,,1,President,,Democratic,Michael Bennet,0
Millville,,1,President,,Green-Rainbow,All Others,0
W. Bridgewater,,1,President,,Republican,No Preference,3
W. Tisbury,,1,President,,Democratic,All Others,2
Arlington,,8,President,,Democratic,Pete Buttigieg,26
Framingham,,1,President,,Democratic,Cory Booker,0
Billerica,,6,President,,Green-Rainbow,Howard Hawkins,0
Duxbury,,4,President,,Democratic,Total Votes Cast,616
Malden,2,1,President,,Democratic,Tom Steyer,4
Bridgewater,,1,President,,Democratic,Cory Booker,0
Oxford,,4,President,,Libertarian,Vermin Love Supreme,1
Stockbridge,,1,President,,Republican,Roque De La Fuente,0
Ayer,,2,President,,Green-Rainbow,Dario Hunter,0
Danvers,,5,President,,Libertarian,Arvin Vohra,0
Methuen,,11,President,,Democratic,Pete Buttigieg,31
Salem,3,2,President,,Democratic,Amy Klobuchar,8
New Bedford,6,A,President,,Libertarian,Max Abramson,0
Great Barrington,,C,President,,Democratic,Bernie Sanders,161
Carver,,1,President,,Green-Rainbow,Dario Hunter,0
Lawrence,E,3,President,,Democratic,Blanks,0
Quincy,3,4,President,,Green-Rainbow,Total Votes Cast,0
Northampton,5,A,President,,Libertarian,Kimberly Margaret Ruff,0
Braintree,,5A,President,,Green-Rainbow,David Rolde,0
Carlisle,,1,President,,Democratic,Cory Booker,0
Mashpee,,2,President,,Republican,William F. Weld,15
Brockton,6,A,President,,Libertarian,Vermin Love Supreme,0
Wareham,,2,President,,Green-Rainbow,Kent Mesplay,0
Watertown,,1,President,,Republican,William F. Weld,6
Newburyport,1,P,President,,Democratic,Pete Buttigieg,1
Methuen,,6,President,,Republican,Donald J. Trump,193
W. Newbury,,1,President,,Democratic,Julian Castro,0
Bridgewater,,1,President,,Green-Rainbow,Total Votes Cast,1
Newton,3,2,President,,Libertarian,All Others,1
Duxbury,,3,President,,Libertarian,Vermin Love Supreme,0
Boston,4,9,President,,Democratic,Total Votes Cast,207
Lexington,,4,President,,Republican,No Preference,3
Weymouth,,18,President,,Libertarian,Samuel Joseph Robb,0
Needham,,B,President,,Democratic,Julian Castro,0
Boston,14,1,President,,Libertarian,Blanks,0
Peabody,6,3,President,,Democratic,Pete Buttigieg,22
Boston,3,7,President,,Republican,No Preference,2
Greenfield,,1,President,,Democratic,Michael R. Bloomberg,41
Billerica,,4,President,,Republican,All Others,1
Brookline,,4,President,,Democratic,Bernie Sanders,238
Marlborough,6,2,President,,Republican,Total Votes Cast,205
Cambridge,6,1,President,,Republican,Total Votes Cast,29
Adams,,4,President,,Libertarian,Blanks,0
Millville,,1,President,,Democratic,Michael R. Bloomberg,48
Cambridge,4,3,President,,Democratic,Andrew Yang,0
Barnstable,,9,President,,Libertarian,Jo Jorgensen,0
Everett,3,2,President,,Libertarian,Jo Jorgensen,0
Lexington,,3,President,,Green-Rainbow,Total Votes Cast,1
Winchester,,2,President,,Republican,No Preference,1
Ashland,,4,President,,Republican,Roque De La Fuente,0
Waltham,3,1,President,,Libertarian,Vermin Love Supreme,0
New Bedford,6,B,President,,Green-Rainbow,Total Votes Cast,0
Southborough,,3,President,,Republican,Total Votes Cast,167
Springfield,4,E,President,,Democratic,Julian Castro,0
Cambridge,10,3,President,,Democratic,Cory Booker,0
Weymouth,,14,President,,Democratic,Total Votes Cast,542
Monterey,,1,President,,Libertarian,Samuel Joseph Robb,0
Brockton,2,A,President,,Democratic,Elizabeth A. Warren,38
Concord,,1,President,,Republican,No Preference,2
Boston,14,12,President,,Republican,Joe Walsh,0
Lynn,7,2,President,,Democratic,Amy Klobuchar,4
Boston,17,6,President,,Democratic,Andrew Yang,0
Tewksbury,,2,President,,Libertarian,Samuel Joseph Robb,0
Williamstown,,1,President,,Green-Rainbow,Skcm Curry,0
N. Attleborough,,3,President,,Libertarian,Kenneth Reed Armstrong,0
Watertown,,11,President,,Democratic,Pete Buttigieg,15
Watertown,,3,President,,Libertarian,Adam Kokesh,0
Boston,9,5,President,,Democratic,"Joseph R. Biden, Jr.",204
Ashburnham,,1,President,,Green-Rainbow,Howard Hawkins,0
Needham,,F,President,,Libertarian,Max Abramson,0
Burlington,,4,President,,Democratic,Blanks,3
Braintree,,6A,President,,Democratic,Total Votes Cast,771
New Bedford,1,B,President,,Democratic,"Joseph R. Biden, Jr.",147
Framingham,,18,President,,Libertarian,Kenneth Reed Armstrong,0
Cambridge,6,3,President,,Democratic,Michael R. Bloomberg,82
Marlborough,3,2,President,,Democratic,Michael Bennet,0
Westford,,6,President,,Libertarian,Total Votes Cast,3
Marshfield,,1,President,,Democratic,No Preference,2
Boston,9,1,President,,Democratic,No Preference,0
Boston,19,7,President,,Democratic,Elizabeth A. Warren,424
Methuen,,3,President,,Democratic,Julian Castro,0
Orleans,,1,President,,Democratic,Blanks,0
Boston,15,2,President,,Green-Rainbow,No Preference,0
Wareham,,3,President,,Democratic,Marianne Williamson,1
Westfield,3,B,President,,Green-Rainbow,Skcm Curry,0
Revere,5,2A,President,,Republican,Blanks,0
Boston,5,7,President,,Republican,William F. Weld,9
Lawrence,A,2,President,,Green-Rainbow,Dario Hunter,0
Needham,,B,President,,Green-Rainbow,Total Votes Cast,2
Andover,,6,President,,Green-Rainbow,Blanks,0
Lowell,4,1,President,,Green-Rainbow,Dario Hunter,0
Waltham,2,1,President,,Green-Rainbow,David Rolde,0
Charlton,,1,President,,Green-Rainbow,Howard Hawkins,0
Longmeadow,,D,President,,Democratic,Pete Buttigieg,37
Cambridge,10,3,President,,Republican,William F. Weld,3
Lowell,10,3,President,,Republican,William F. Weld,3
Winchendon,,1,President,,Democratic,Elizabeth A. Warren,32
Braintree,,3B,President,,Green-Rainbow,All Others,0
Boston,16,6,President,,Democratic,Michael R. Bloomberg,27
Wilmington,,3,President,,Democratic,Julian Castro,0
Bedford,,3,President,,Democratic,Total Votes Cast,1079
Boston,20,11,President,,Republican,Donald J. Trump,58
Randolph,,8,President,,Libertarian,Adam Kokesh,0
Holyoke,6,B,President,,Green-Rainbow,All Others,0
Middleborough,,4,President,,Green-Rainbow,Skcm Curry,0
Fall River,4,A,President,,Green-Rainbow,Kent Mesplay,0
Northampton,3,B,President,,Democratic,Michael R. Bloomberg,25
Reading,,6,President,,Democratic,John K. Delaney,0
Lynn,1,3,President,,Libertarian,Jo Jorgensen,0
Methuen,,7,President,,Green-Rainbow,All Others,0
Andover,,7,President,,Green-Rainbow,Total Votes Cast,0
Tyringham,,1,President,,Libertarian,Vermin Love Supreme,0
Braintree,,2A,President,,Green-Rainbow,Kent Mesplay,0
Framingham,,13,President,,Democratic,Michael R. Bloomberg,59
Somerville,2,1,President,,Republican,Roque De La Fuente,1
Boston,3,7,President,,Democratic,Marianne Williamson,0
Natick,,9,President,,Democratic,No Preference,4
Chelsea,3,4,President,,Libertarian,Arvin Vohra,0
Lunenburg,,D,President,,Libertarian,Jo Jorgensen,0
Peabody,2,3,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Fairhaven,,6,President,,Libertarian,Jacob George Hornberger,0
Holyoke,1,B,President,,Democratic,Michael Bennet,3
Oxford,,2,President,,Republican,All Others,3
Sudbury,,1,President,,Libertarian,Jo Jorgensen,0
Boston,3,8,President,,Libertarian,No Preference,2
Boston,15,8,President,,Green-Rainbow,Total Votes Cast,1
Acton,,4,President,,Democratic,Cory Booker,0
Sherborn,,1,President,,Democratic,Tulsi Gabbard,11
Somerset,,1,President,,Green-Rainbow,All Others,0
Fitchburg,2,B,President,,Libertarian,Jo Jorgensen,0
Beverly,3,1,President,,Libertarian,Samuel Joseph Robb,0
Chelsea,3,2,President,,Libertarian,All Others,0
Oakham,,1,President,,Democratic,Pete Buttigieg,3
Worcester,3,1,President,,Republican,All Others,3
Hull,,2,President,,Green-Rainbow,No Preference,0
Fall River,5,B1,President,,Democratic,Andrew Yang,0
Templeton,,A,President,,Libertarian,All Others,1
Dunstable,,1,President,,Libertarian,Samuel Joseph Robb,0
Methuen,,5,President,,Libertarian,All Others,0
Brockton,3,A,President,,Democratic,Total Votes Cast,358
Framingham,,11,President,,Republican,Total Votes Cast,193
Chicopee,3,A,President,,Green-Rainbow,Skcm Curry,0
Boston,18,11,President,,Republican,Blanks,2
Dennis,,3,President,,Democratic,Julian Castro,0
Lexington,,9,President,,Republican,William F. Weld,22
Littleton,,3,President,,Libertarian,No Preference,0
Concord,,1,President,,Libertarian,Jacob George Hornberger,0
Rutland,,1,President,,Green-Rainbow,Howard Hawkins,0
Springfield,4,G,President,,Libertarian,Samuel Joseph Robb,0
Worcester,10,5,President,,Democratic,Andrew Yang,0
Shrewsbury,,6,President,,Republican,Joe Walsh,2
Boston,2,4,President,,Democratic,Michael R. Bloomberg,63
Yarmouth,,5,President,,Libertarian,Jo Jorgensen,0
Haverhill,3,3,President,,Republican,All Others,0
Attleboro,5,B,President,,Democratic,Tulsi Gabbard,1
New Marlborough,,1,President,,Democratic,Amy Klobuchar,1
Spencer,,1,President,,Democratic,Bernie Sanders,108
Saugus,,1,President,,Green-Rainbow,Kent Mesplay,0
Somerville,6,1,President,,Libertarian,Kimberly Margaret Ruff,0
Great Barrington,,D,President,,Democratic,Tom Steyer,0
Colrain,,1,President,,Democratic,Tom Steyer,0
Newton,3,3,President,,Democratic,Andrew Yang,4
Lawrence,A,1,President,,Green-Rainbow,Total Votes Cast,0
Woburn,2,1,President,,Libertarian,Jacob George Hornberger,0
Worcester,10,1,President,,Libertarian,Max Abramson,0
Revere,3,3,President,,Democratic,No Preference,3
Springfield,3,B,President,,Libertarian,Samuel Joseph Robb,0
Middlefield,,1,President,,Libertarian,Blanks,0
Worcester,2,1,President,,Libertarian,Blanks,0
Sterling,,1,President,,Libertarian,Arvin Vohra,0
Medway,,3,President,,Democratic,Total Votes Cast,836
Wilmington,,5,President,,Green-Rainbow,Kent Mesplay,0
Erving,,1,President,,Republican,Roque De La Fuente,1
Spencer,,3,President,,Democratic,Elizabeth A. Warren,47
Peabody,1,3,President,,Republican,Total Votes Cast,222
Boston,13,3,President,,Green-Rainbow,Skcm Curry,1
Leominster,2,C,President,,Green-Rainbow,Dario Hunter,0
Brockton,6,C,President,,Democratic,Andrew Yang,1
Fall River,5,C,President,,Libertarian,Jo Jorgensen,0
Somerville,2,3,President,,Democratic,Amy Klobuchar,13
Wilmington,,6,President,,Democratic,John K. Delaney,1
Springfield,7,H,President,,Libertarian,Vermin Love Supreme,0
Auburn,,5,President,,Democratic,Marianne Williamson,0
Rehoboth,,2,President,,Republican,Blanks,4
Somerville,2,3,President,,Libertarian,Jo Jorgensen,0
Lynn,5,2,President,,Libertarian,Samuel Joseph Robb,0
Marion,,1,President,,Libertarian,All Others,3
Seekonk,,4,President,,Republican,Blanks,0
Kingston,,3,President,,Green-Rainbow,All Others,0
Raynham,,2,President,,Green-Rainbow,Blanks,0
Hanover,,1,President,,Libertarian,Blanks,1
Newbury,,2,President,,Democratic,"Joseph R. Biden, Jr.",379
Boston,20,19,President,,Democratic,Michael Bennet,1
Arlington,,18,President,,Green-Rainbow,David Rolde,0
Hudson,,1,President,,Libertarian,Max Abramson,0
N. Brookfield,,1,President,,Democratic,Blanks,1
Fall River,7,B,President,,Green-Rainbow,David Rolde,0
Franklin,,2,President,,Green-Rainbow,All Others,0
Tewksbury,,4,President,,Republican,Blanks,1
Westport,,A,President,,Green-Rainbow,Howard Hawkins,0
TOTALS,,,President,,Libertarian,Jacob George Hornberger,369
Framingham,,14,President,,Libertarian,Total Votes Cast,2
Weymouth,,10,President,,Libertarian,Arvin Vohra,0
Walpole,,4,President,,Democratic,Pete Buttigieg,30
Pembroke,,5,President,,Green-Rainbow,Dario Hunter,0
Quincy,3,3,President,,Democratic,Cory Booker,1
Wellesley,,E,President,,Democratic,Julian Castro,0
Falmouth,,5,President,,Democratic,Amy Klobuchar,20
Methuen,,8,President,,Libertarian,Dan Taxation Is Theft Behrman,0
New Bedford,5,F,President,,Libertarian,Max Abramson,0
Holyoke,1,A,President,,Democratic,Tom Steyer,1
Salem,6,1,President,,Libertarian,Arvin Vohra,0
Freetown,,2,President,,Democratic,Cory Booker,0
Cambridge,3,2,President,,Democratic,Michael R. Bloomberg,22
Dalton,,2,President,,Libertarian,Vermin Love Supreme,0
Arlington,,9,President,,Libertarian,Jo Jorgensen,0
Halifax,,1,President,,Libertarian,No Preference,2
Leominster,5,B,President,,Libertarian,Max Abramson,0
Saugus,,1,President,,Democratic,Marianne Williamson,0
Boston,20,15,President,,Republican,Blanks,0
Lexington,,2,President,,Republican,Donald J. Trump,59
Royalston,,1,President,,Libertarian,Blanks,0
Woburn,5,2,President,,Libertarian,Blanks,0
Acton,,1,President,,Green-Rainbow,Kent Mesplay,0
W. Bridgewater,,1,President,,Democratic,Amy Klobuchar,6
E. Brookfield,,1,President,,Green-Rainbow,All Others,0
Peabody,3,3,President,,Libertarian,Kenneth Reed Armstrong,0
Needham,,B,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Marlborough,4,2,President,,Green-Rainbow,All Others,2
Methuen,,10,President,,Green-Rainbow,Blanks,0
Winchester,,4,President,,Republican,William F. Weld,18
Milton,,7,President,,Democratic,Julian Castro,0
Boston,5,6,President,,Republican,Blanks,4
Hudson,,4,President,,Green-Rainbow,Total Votes Cast,1
Douglas,,3,President,,Republican,All Others,0
Worcester,5,2,President,,Republican,Blanks,0
Norwood,,1,President,,Green-Rainbow,Howard Hawkins,0
