state,county,rep_general_total,dem_general_total,rep_primary_total,dem_primary_total,rep_primary_share,rep_general_share,primary_total_votes,general_total_votes
IL,BROWN,1544.0,986.0,766.0,630.0,0.5487106017191977,0.6102766798418973,1396.0,2530.0
IL,BUREAU,7911.0,8889.0,3198.0,4058.0,0.4407386990077177,0.47089285714285717,7256.0,16800.0
IL,CALHOUN,1221.0,1423.0,384.0,1150.0,0.2503259452411995,0.46180030257186083,1534.0,2644.0
IL,CARROLL,3596.0,3965.0,1641.0,1799.0,0.4770348837209302,0.4755984658114006,3440.0,7561.0
IL,CASS,2617.0,2690.0,931.0,1235.0,0.4298245614035088,0.4931222913133597,2166.0,5307.0
IL,CHAMPAIGN,33871.0,48597.0,15424.0,23102.0,0.400353008357992,0.41071688412475144,38526.0,82468.0
IL,CHRISTIAN,7872.0,6918.0,2139.0,5477.0,0.2808560924369748,0.5322515212981744,7616.0,14790.0
IL,CLARK,4409.0,3742.0,2171.0,1986.0,0.5222516237671397,0.5409152251257514,4157.0,8151.0
IL,CLAY,3926.0,2425.0,1263.0,2108.0,0.37466627113616136,0.6181703668713588,3371.0,6351.0
IL,CLINTON,9357.0,7657.0,2987.0,3684.0,0.4477589566781592,0.5499588574115435,6671.0,17014.0
IL,COLES,10978.0,11716.0,4869.0,5203.0,0.48341938046068306,0.48374019564642634,10072.0,22694.0
IL,COOK,487736.0,1629024.0,178545.0,1079079.0,0.14197009599053453,0.23041629660424423,1257624.0,2116760.0
IL,CRAWFORD,5070.0,3883.0,2335.0,2054.0,0.5320118478013215,0.5662906288394951,4389.0,8953.0
IL,CUMBERLAND,3156.0,2055.0,1353.0,1236.0,0.522595596755504,0.6056419113413932,2589.0,5211.0
IL,DOUGLAS,5005.0,3228.0,2407.0,1739.0,0.5805595754944525,0.6079193489614965,4146.0,8233.0
IL,DeKALB,18266.0,25784.0,10188.0,12756.0,0.4440376569037657,0.4146651532349603,22944.0,44050.0
IL,DeWITT,4348.0,3308.0,2959.0,1740.0,0.6297084486060864,0.5679205851619644,4699.0,7656.0
IL,DuPAGE,183626.0,228698.0,108539.0,132524.0,0.45025159398165626,0.4453439528138066,241063.0,412324.0
IL,EDGAR,4398.0,3743.0,2970.0,1543.0,0.6580988256148903,0.5402284731605453,4513.0,8141.0
